label,video,config,frames,pose,lh,rh,any_hand,both_hands,hands_fb_any,combined_any_hand
a,a_d8ae81e2-1d6c-4bf3-a0df-3e682dcf3406.mp4,baseline_c1_conf03,45,1.0,0.0,0.9555555555555556,0.9555555555555556,0.0,0.0,0.9555555555555556
e,e_78b081d4-1bd6-4874-abda-5c2f774d6c61.mp4,baseline_c1_conf03,45,1.0,0.0,0.5111111111111111,0.5111111111111111,0.0,0.0,0.5111111111111111
e,e_87177e84-ef38-4682-8a8f-cf65e9a4fdc6.mp4,baseline_c1_conf03,45,1.0,0.0,0.6222222222222222,0.6222222222222222,0.0,0.0,0.6222222222222222
e,e_ae06cd4c-a37e-42dd-9c1c-ba647119eee9.mp4,baseline_c1_conf03,45,1.0,0.0,0.6,0.6,0.0,0.0,0.6
e,e_dbceb327-a4d7-42cc-adda-aef209de8b96.mp4,baseline_c1_conf03,45,1.0,0.0,0.6,0.6,0.0,0.0,0.6
i,i_c1ec32a1-112f-4ef8-bb01-d9131cdba27d.mp4,baseline_c1_conf03,45,1.0,0.0,0.6888888888888889,0.6888888888888889,0.0,0.0,0.6888888888888889
t,t_10a4a9c4-7981-475a-af37-d2620c714f39.mp4,baseline_c1_conf03,45,1.0,0.0,0.7333333333333333,0.7333333333333333,0.0,0.0,0.7333333333333333
t,t_2f513fb3-c35b-4f9b-86fb-395af69dff4d.mp4,baseline_c1_conf03,45,1.0,0.0,0.7111111111111111,0.7111111111111111,0.0,0.0,0.7111111111111111
t,t_94d6a823-76cc-4314-ac6b-ae7e1b82960f.mp4,baseline_c1_conf03,45,1.0,0.0,0.7111111111111111,0.7111111111111111,0.0,0.0,0.7111111111111111
v,v_a4fc1a6f-5fd5-40cd-8a80-3ad161211558.mp4,baseline_c1_conf03,45,1.0,0.0,0.6888888888888889,0.6888888888888889,0.0,0.0,0.6888888888888889
A veces,A veces_1962a15b-aae9-40b9-9933-1711ed089eac.mp4,heavy_c2_conf03,45,1.0,0.9111111111111111,0.6,1.0,0.5111111111111111,0.0,1.0
A veces,A veces_58b8ffe3-bf6b-42d2-9701-bb06bdc9b9ce.mp4,heavy_c2_conf03,45,1.0,0.3333333333333333,0.4444444444444444,0.6,0.17777777777777778,0.0,0.6
A veces,A veces_b6e65697-49bc-4f5f-9cda-c7d079dcbcf7.mp4,heavy_c2_conf03,45,1.0,0.8888888888888888,0.9777777777777777,1.0,0.8666666666666667,0.0,1.0
Abrazar,Abrazar_4c1ab065-0bee-45c5-a0ec-d2020d439d42.mp4,heavy_c2_conf03,45,1.0,0.6,0.7333333333333333,0.7555555555555555,0.5777777777777777,0.0,0.7555555555555555
Adiós,Adiós_ff8aa44b-8a77-4cb7-8bd8-1bce0676348f.mp4,heavy_c2_conf03,45,1.0,0.0,0.6888888888888889,0.6888888888888889,0.0,0.0,0.6888888888888889
Allá,Allá_ce8ddc6e-0a82-4956-89b9-24613f753ad5.mp4,heavy_c2_conf03,45,1.0,1.0,0.7777777777777778,1.0,0.7777777777777778,0.0,1.0
Aprender,Aprender_4f3efbd1-71b4-4e6b-8192-ac0d4bbb6a71.mp4,heavy_c2_conf03,45,1.0,0.4444444444444444,0.37777777777777777,0.5111111111111111,0.3111111111111111,0.0,0.5111111111111111
Ayer,Ayer_78c8c352-0669-4026-b792-ce0fb11d28da.mp4,heavy_c2_conf03,45,1.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222
Buscar,Buscar_4db227c8-d842-4121-9998-3f13ae9b28ea.mp4,heavy_c2_conf03,45,1.0,0.022222222222222223,0.5333333333333333,0.5555555555555556,0.0,0.0,0.5555555555555556
Desmayarse,Desmayarse_2b1afe61-fca6-4f22-b281-bae196233ec9.mp4,heavy_c2_conf03,45,1.0,0.0,0.7111111111111111,0.7111111111111111,0.0,0.0,0.7111111111111111
Doler,Doler_902e7d79-0cd6-4515-aa72-9eab85fa09a3.mp4,heavy_c2_conf03,45,1.0,0.4,0.4888888888888889,0.4888888888888889,0.4,0.0,0.4888888888888889
Doler,Doler_9484dceb-007c-448e-ac28-3fe4d750f574.mp4,heavy_c2_conf03,45,1.0,0.4,0.4888888888888889,0.4888888888888889,0.4,0.0,0.4888888888888889
